Disease_Name,Symptom_List
Ganglioneuroma,"['Spine deformity ', ' Chest pain ', ' Bloating ', ' Breathing difficulty ', ' Compression of the spinal cord, which leads to pain and loss of strength or feeling in the legs, arms, or both ', ' Enlarged clitoris (women) ', ' High blood pressure ', ' Sweating ', ' Increased body hair ', ' Diarrhea ', ' Compression of the windpipe (trachea) ', ' Abdominal pain']"
Gangrene,"['General ill feeling ', ' Gas in tissues beneath the skin ', ' Low blood pressure ', ' Persistent or severe pain ', ' Loss of feeling in the area (which may happen after severe pain in the area) ', ' Fever ', ' Discoloration (blue or black if skin is affected; red or bronze if the affected area is beneath the skin) ', ' Foul-smelling discharge ', ' Confusion']"
Gas gangrene,"['Increased heart rate (tachycardia) ', ' Air under the skin (subcutaneous emphysema) ', ' Vesicle formation, combining into large blisters ', ' Blisters filled with brown-red fluid ', ' Yellow color to the skin (jaundice) ', ' Moderate to high fever ', ' Moderate to severe pain around a skin injury ', ' Drainage from the tissues, foul-smelling brown-red or bloody fluid (serosanguineous discharge) ', ' Swelling that worsens around a skin injury ', ' Pale skin color, later becoming dusky and changing to dark red or purple ', ' Sweating']"
Gasoline poisoning,"['Feeling of being drunk (euphoria) ', ' Weakness ', ' Headache ', ' Vision loss ', ' Come (lack of responsiveness) ', ' Decreased alertness and responsiveness ', ' Throat swelling ', ' Burns ', ' Staggering ', ' Abdominal pain ', ' Convulsions (seizures) ', ' Irritation ', ' Burns of the esophagus (food pipe) ', ' Dizziness ', ' Depression ', ' Vomiting, possibly with blood ', ' Drowsiness ', ' Low blood pressure -- develops rapidly (shock) ', ' Pain ', ' Breathing difficulty ', ' Blood stools ', ' Collapse']"
Gastritis,"['Black stools ', ' Pain in the upper part of the belly or abdomen ', ' Loss of appetite ', ' Nausea and vomiting']"
Gastroesophageal reflux disease,"['Feeling that food is stuck behind the breastbone ', ' Heartburn or a burning pain in the chest ', ' Bringing food back up (regurgitation) ', ' Hiccups ', ' Difficulty swallowing ', ' Sore throat ', ' Nausea after eating ', ' Cough or wheezing ', ' Hoarseness or change in voice']"
Gastroesophageal reflux disease - children,"['Feeling that food is stuck behind the breastbone or pain with swallowing. ', ' Nausea, bringing food back up (regurgitation), or perhaps vomiting. ', ' Choking, chronic cough, or wheezing. ', ' Not wanting to eat, eating only a small amount, or avoiding certain foods. ', ' Hoarseness or a change in voice. ', ' Reflux and heartburn. Younger children may not be able to pinpoint the pain as well and instead describe widespread belly or chest pain. ', ' Hiccups or burps. ', ' Weight loss or not gaining weight.']"
Gastroesophageal reflux in infants,"['Excessive crying as if in pain ', ' Weight loss ', ' Not feeding well ', ' Extremely forceful vomiting ', ' Refusing to eat ', ' Cough, especially after eating ', ' Excessive vomiting during the first few weeks of life; worse after eating ', ' Slow growth ', ' Wheezing or other breathing problems']"
Gastrointestinal fistula,"['Some fistulas may not cause symptoms. ', ' Other fistulas cause intestinal contents to leak through an opening in the skin.']"
Gastrointestinal perforation,"['Chills ', ' Shock']"
Gastroparesis,"['Hypoglycemia (in people with diabetes) ', ' Abdominal distention ', ' Vomiting ', ' Premature abdominal fullness after meals ', ' Weight loss without trying ', ' Nausea ', ' Abdominal pain']"
Gaucher disease,"['Severe swellingÂ\xa0at birth ', ' Cognitive impairment (decreased thinking ability) ', ' Easy bruising ', ' Enlarged spleen ', ' Fatigue ', ' Enlarged liver ', ' Bone pain and fractures ', ' Skin changes ', ' Heart valve problems ', ' Lung disease (rare)']"
Gender dysphoria,"['Want to dress in the clothes typically used by another gender and resist wearing clothes associated with their biological gender ', ' Want to be addressed as the other gender (pronouns) ', ' Strongly want to be the other gender (or a gender different from the one they were assigned at birth) ', ' Insist that they are the other gender ', ' Strongly prefer to play with children of the other gender ', ' Feel a strong dislike of their genitals ', ' Want to have the physical characteristics of the other gender ', ' Want to have the physical and sexual characteristics of the other gender ', ' Prefer to act the conventional roles of the other gender in play or fantasy ', ' Want to be treated like the other gender ', ' Prefer toys and activities conventionally thought of as of the other gender ', ' Strongly feel and react in ways associated with of the other gender ', ' Strongly want to be the other gender ', ' Want to be rid of their own genitals']"
General paresis,"['Memory problems ', ' Decreased mental function, such as problems thinking and with judgment ', ' Language problems, such as saying or writing words incorrectly ', ' Personality changes, such as delusions, hallucinations, irritability, inappropriate behavior ', ' Mood changes']"
Generalized anxiety disorder,"['Fatigue ', ' Irritability ', ' Restlessness when awake ', ' Problems concentrating ', ' Problems falling or staying asleep, or sleep that is restless and unsatisfying']"
Generalized anxiety disorder in children,"['Doing well at school and sports. They may have the feeling that they need to perform perfectly or otherwise feel they are not doing well. ', ' Muscle tension ', ' Headaches ', ' Fatigue ', ' Upset stomach ', ' Restlessness when awake ', ' Illness in themselves or their family. They may worry excessively over minor illnesses they have or be fearful of developing new illnesses. ', ' Difficulty breathing ', ' Irritability ', ' The safety of themselves or their family. They may feel intense fear of natural calamities such as earthquakes, tornados, or home break-ins. ', ' A pattern of being disobedient, hostile, and defiant ', ' Sweating ', ' Not eating enough or overeating ', ' Outbursts of anger ', ' Problems concentrating, or the mind going blank ', ' Problems falling or staying asleep, or sleep that is restless and unsatisfying']"
Genital herpes,"['Tongue, mouth, eyes, gums, lips, fingers, and other parts of the body (in both genders) ', ' Pain when passing urine ', ' General sick feeling (malaise) ', ' Problems emptying the bladder that may require a urinary catheter ', ' Penis, scrotum, around the anus, on the thighs or buttocks (in men) ', ' Muscle aches in the lower back, buttocks, thighs, or knees ', ' Vaginal discharge (in women) ', ' Decreased appetite ', ' Outer vaginal lips (labia), vagina, cervix, around the anus, and on the thighs or buttocks (in women) ', ' Swollen and tender lymph nodes in the groin ', ' Fever']"
Genital injury,"['Change in shape of the affected area ', ' Groin pain or genital pain (can be extreme) ', ' Vomiting ', ' Foul-smelling vaginal or urethral discharge ', ' Object embedded in a body opening ', ' Bleeding ', ' Swelling ', ' Urine drainage ', ' Bruising ', ' Urination that is painful or the inability to urinate ', ' Faintness ', ' Abdominal pain']"
Genital warts,"['Penis ', ' Inside the vagina or anus ', ' Flesh-colored spots that are raised or flat ', ' Inside or around the anus ', ' Groin area ', ' Scrotum ', ' Mouth ', ' Tongue ', ' Genital itching ', ' Increased dampness in the genital area near the warts ', ' Lips ', ' Vaginal bleeding during or after sex ', ' Throat ', ' Thighs ', ' Growths that look like the top of a cauliflower ', ' Increased vaginal discharge ', ' Outside the vagina or anus, or on nearby skin ', ' On the cervix inside the body']"
Geographic tongue,"['Map-like appearance to the surface of the tongue ', ' Patches that move from day to day ', ' Soreness and burning pain (in some cases) ', ' Smooth, red patches and sores (lesions) on the tongue']"
Gestational diabetes,"['Increased urination ', ' Blurred vision ', ' Frequent infections, including those of the bladder, vagina, and skin ', ' Fatigue ', ' Increased thirst']"
Gianotti-Crosti syndrome,"['String of bumps may appear in a line ', ' Tender lymph nodes ', ' Brownish-red or copper-colored patch that is firm and flat on top ', ' Swollen lymph nodes ', ' Rash or patch on the skin, usually on the arms and legs ', ' Rash looks the same on both sides of the body ', ' Generally not itchy ', ' Rash may appear on the palms and soles, but not on the back, chest, or belly area (this is one of the ways it is identified, by the absence of the rash on the trunk of the body) ', ' Swollen abdomen']"
Giant cell arteritis,"['General ill feeling ', ' Tenderness when touching the scalp ', ' Sudden reduced vision (blindness in one or both eyes) ', ' New throbbing headache on one side of the head or the back of the head ', ' Blurred vision ', ' Pain in the arm after using it ', ' Weakness, excessive tiredness ', ' Pain and stiffness in the neck, upper arms, shoulder, and hips (polymyalgia rheumatica) ', ' Jaw pain that occurs when chewing (called jaw claudication) ', ' Muscle aches ', ' Double vision ', ' Fever']"
Giant congenital nevus,"['Legs ', ' Mucus membranes ', ' Brown to bluish-black color ', ' Palms or soles ', ' Hair ', ' Arms ', ' Smaller affectedÂ\xa0areas near the larger nevus (maybe) ', ' Smooth, irregular, or wart-like skin surface ', ' Regular or uneven borders']"
Giardia infection,"['Low-grade fever ', ' Loss of appetite ', ' Abdominal gas or bloating ', ' Weight loss and loss of body fluids ', ' Headache']"
Gigantism,"['Weakness ', ' Large hands and feet with thick fingers and toes ', ' Release of breast milk ', ' Very prominent forehead (frontal bossing) and a prominent jaw ', ' Sleep problems such as obstructive sleep apnea ', ' Double vision or difficulty with side (peripheral) vision ', ' Increased sweating ', ' Gaps between the teeth ', ' Irregular periods (menstruation) ', ' Headache ', ' Thickening of the facial features ', ' Delayed puberty ', ' Voice changes ', ' Joint pain']"
Gilbert syndrome,"['Yellowing of the skin and whites of the eyes (mild jaundice) ', ' Fatigue']"
Gingivitis,"['Shiny appearance to gums ', ' Bad breath ', ' Swollen gums ', ' Bright red or reddish-purple gums ', ' Bleeding gums (when brushing or flossing) ', ' Gums that are tender when touched, but otherwise painless ', ' Mouth sores']"
Gingivostomatitis,"['Sores on the inside of the cheeks or gums ', ' Bad breath ', ' Very sore mouth with no desire to eat ', ' General discomfort, uneasiness, or ill feeling (malaise) ', ' Fever']"
Glanzmann thrombasthenia,"['Heavy menstrual bleeding ', ' Prolonged bleeding with minor injuries ', ' Bleeding gums ', ' Nosebleeds that do not stop easily ', ' Bruising easily or pinpoint red spots on the skin ', ' Heavy bleeding during and after surgery']"
Glaucoma,"['Advanced glaucoma can lead to blindness. ', ' Tearing ', ' Once you are aware of vision loss, the damage is already severe. ', ' Decreased or cloudy vision, often called ""steamy"" vision ', ' Most people have no symptoms. ', ' Symptoms are most often related to the underlying problem causing the glaucoma. ', ' Slow loss of side (peripheral) vision (also called tunnel vision) is the main type of vision loss. ', ' Rainbow-like halos around lights ', ' Nausea and vomiting ', ' Sudden, severe pain in one eye ', ' Enlargement of one eye or both eyes ', ' Sensitivity to light ', ' Depending on the cause, symptoms may either be like open-angle glaucoma or angle-closure glaucoma. ', ' Cloudiness of the front of the eye ', ' Red eye ', ' Eye feels swollen']"
Glaze poisoning,"['Kidney damage ', ' Weakness ', ' Constipation ', ' Tremor ', ' Twitching ', ' Yellow skin (jaundice) ', ' Lack of desire to do anything ', ' Being uncooperative ', ' Headache ', ' Metallic taste in the mouth ', ' Confusion ', ' Joint pain ', ' Yellow eyes (jaundice) ', ' Pale skin ', ' High blood pressure ', ' Diarrhea ', ' Inability to sleep ', ' Vision problems ', ' Abdominal pain ', ' Hallucinations ', ' Hearing loss ', ' Loss of appetite ', ' Muscle soreness ', ' Increased thirst ', ' Weight loss ', ' Seizures ', ' Uncoordinated movements ', ' Vomiting ', ' Low blood pressure ', ' Fatigue ', ' Irritability ', ' Excitability ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Decreased urine output ', ' Paralysis']"
Glomerulonephritis,"['Blood in the urine (dark, rust-colored, or brown urine) ', ' Excessive urination ', ' Joint or muscle aches ', ' Nosebleed ', ' Blood in the vomit or stools ', ' Cough and shortness of breath ', ' Diarrhea ', ' Swelling (edema) of the face, eyes, ankles, feet, legs, or abdomen ', ' General ill feeling, fatigue, and loss of appetite ', ' Foamy urine (due to excess protein in the urine) ', ' Abdominal pain ', ' Fever']"
Glomus jugulare tumor,"['Hoarseness ', ' Hearing pulsations in the ear ', ' Pain ', ' Dizziness ', ' Weakness or loss of movement in the face (facial nerve palsy) ', ' Difficulty swallowing (dysphagia) ', ' Hearing problems or loss']"
Glomus tympanum tumor,"['Weakness or loss of movement in the face (facial nerve palsy) ', ' Ringing in the ear (pulsatile tinnitus) ', ' Hearing problems or loss']"
Glossitis,"['Pale or bright red color to the tongue ', ' Sore, tender, or swollen tongue ', ' Smooth surface of the tongue ', ' Problems speaking, chewing, or swallowing ', ' Blocked airway ', ' Problems chewing, swallowing, or speaking']"
Glossopharyngeal neuralgia,"['Touching (a blunt object to the tonsil of the affected side) ', ' Swallowing ', ' Tonsil area ', ' Yawning ', ' Coughing ', ' Sneezing ', ' Ear ', ' Back of the tongue ', ' Speaking ', ' Laughing ', ' Throat ', ' Back of the nose and throat (nasopharynx) ', ' Chewing ', ' Voice box (larynx) ', ' Cold beverages']"
Glucagonoma,"['Inflamed mouth and tongue ', ' High blood sugar (hyperglycemia) ', ' Increased appetite ', ' Skin rash on face, abdomen, buttocks, or feet that comes and goes, and moves around ', ' Nighttime (nocturnal) urination ', ' Glucose intolerance (body has problem breaking down sugars) ', ' Weight loss ', ' Diarrhea ', ' Excessive thirst (due to high blood sugar) ', ' Frequent urination (due to high blood sugar)']"
Glucose-6-phosphate dehydrogenase deficiency,"['Yellow skin color (jaundice) ', ' Dark urine ', ' Enlarged spleen and liver ', ' Shortness of breath ', ' Fatigue ', ' Pain in abdomen ', ' Rapid heart rate ', ' Pallor ', ' Fever']"
Gonococcal arthritis,"['Skin rash (sores are slightly raised, pink to red, and may later contain pus or appear purple) ', ' Pain or burning during urination ', ' Pain in the hands or wrists due to tendon inflammation ', ' Fever ', ' Joint pain for 1 to 4 days ', ' Single joint pain']"
Gonorrhea,"['Discharge from the penis (white, yellow, or green in color) ', ' Fever (if the infection spreads to the fallopian tubes and uterus area) ', ' Abnormal uterine bleeding ', ' Red or swollen opening of penis (urethra) ', ' Abnormal vaginal discharge with greenish, yellow or foul smelling discharge ', ' Burning and pain while urinating ', ' Painful sexual intercourse ', ' Sore throat (gonococcal pharyngitis) ', ' Rash ', ' Sore throat ', ' Tender or swollen testicles ', ' Bleeding after sex ', ' Fever ', ' Arthritis-like symptoms ', ' Severe pain in the lower abdomen (if the infection spreads to the fallopian tubes and uterus area) ', ' Need to urinate urgently or more often']"
Gout,"['The attack may go away in a few days, but may return from time to time. Additional attacks often last longer. ', ' There may be a fever. ', ' The pain starts suddenly, often during the night. Pain is often severe, described as throbbing, crushing, or excruciating. ', ' In most cases, only one or a few joints are affected. The big toe, knee, or ankle joints are most often affected. Sometimes many joints become swollen and painful. ', ' The joint appears warm and red. It is most often very tender and swollen (it hurts to put a sheet or blanket over it).']"
Graft-versus-host disease,"['Skin rash with raised, discolored areas, as well as skin tightening or thickening ', ' Joint pain or stiffness ', ' Cytopenia (decrease in number of mature blood cells) ', ' Increased risk for infections ', ' Reduced bile flow from the liver ', ' Fatigue, muscle weakness, and chronic pain ', ' Dry mouth, white patches inside the mouth, and sensitivity to spicy foods ', ' Vaginal dryness ', ' Brittle hair and premature graying ', ' Weight loss ', ' Damage to sweat glands ', ' Pericarditis (inflammation in the membrane surrounding the heart; causes chest pain) ', ' Dry eyes, burning sensation, or vision changes ', ' Skin rash, itching, redness on areas of the skin ', ' Jaundice (yellow coloring of the skin or eyes) or other liver problems ', ' Shortness of breath due to lung damage ', ' Abdominal pain or cramps, nausea, vomiting, and diarrhea']"
Gram-negative meningitis,"['Bulging fontanelles in infants ', ' Decreased consciousness ', ' Fever and chills ', ' Poor feeding or irritability in children ', ' Stiff neck (meningismus) ', ' Nausea and vomiting ', ' Severe headache ', ' Rapid breathing ', ' Symptoms of a bladder, kidney, intestine, or lung infection ', ' Unusual posture, with the head and neck arched backwards (opisthotonos) ', ' Sensitivity to light (photophobia) ', ' Agitation ', ' Mental status changes']"
Granulomatosis with polyangiitis,"['Weakness ', ' Chest pain and shortness of breath as the disease progresses ', ' Chronic ear infections ', ' Pain, and sores around the opening of the nose ', ' Cough with or without blood in the sputum ', ' Bloody urine ', ' Loss of appetite and weight loss ', ' Skin changes such as bruises and ulcers of the skin ', ' Kidney problems ', ' Eye problems ranging from mild conjunctivitis to severe swelling of the eye ', ' Joint pain ', ' Abdominal pain']"
Grass allergy,"['Breathing difficulty ', ' Headache ', ' Stuffy nose ', ' Itchy, watery eyes ', ' Sneezing ', ' Runny nose']"
Grass and weed killer poisoning,"['Weakness ', ' Kidney failure ', ' Breathing difficulty ', ' Coma ', ' Low blood pressure ', ' Dizziness ', ' Abdominal cramps ', ' Headache ', ' Irritation in the mouth and throat ', ' Blue lips or fingernails (rare) ', ' Anxiety ', ' Drowsiness ', ' Nausea and vomiting (may vomit blood) ', ' Diarrhea ', ' Slow heart rate']"
Graves disease,"['Eyes can feel irritated, itchy, or tear more frequently. ', ' Rapid or irregular heartbeat ', ' Shortness of breath with activity ', ' Decreased vision and damage to the cornea can also occur in severe cases. ', ' Increased appetite, despite having weight loss ', ' Anxiety or nervousness, as well as problems sleeping ', ' Palpitations (sensation of a strong or unusual heartbeat) ', ' Tremor (shakiness of the hands) ', ' Muscle weakness of the hips and shoulders ', ' Problems concentrating ', ' Chest pain ', ' Moodiness, including irritability and anger ', ' Double vision may be present. ', ' Hair loss ', ' Heat intolerance and increased sweating ', ' Irregular menstrual periods in women ', ' Weakness and fatigue ', ' Breast enlargement in men (possible) ', ' Fatigue ', ' Frequent bowel movements ', ' The eyeballs may seem to be bulging out and may be painful. ', ' Memory loss or decreased concentration']"
Greater trochanteric pain syndrome,"['Joint stiffness ', ' Difficulty walking ', ' Swelling and warmth of the hip joint ', ' Pain at the side of the hip, which may also be felt on the outside of the thigh ', ' Sleeping or lying on the affected side ', ' Catching and clicking sensation ', ' Sitting for a long time ', ' Getting out of a chair or bed ', ' Walking up stairs ', ' Pain that is sharp or intense at first, but may become more of an ache']"
Grief,"['Bargaining (for instance, ""If I am cured of this cancer, I will never smoke again."") ', ' Denial, disbelief, numbness ', ' Acceptance, coming to terms ', ' Anger, blaming others ', ' Depressed mood, sadness, and crying']"
Group B streptococcal septicemia of the newborn,"['Pale appearance (pallor) with cold skin ', ' Lethargy ', ' Irregular or abnormal (fast or very slow) heart rate ', ' Blue appearance (cyanosis) ', ' Poor feeding ', ' Unstable body temperature (low or high) ', ' Breathing difficulties, such as flaring of the nostrils, grunting noises, rapid breathing, and short periods without breathing']"
Guillain-Barre syndrome,"['Clumsiness and falling ', ' Cannot take a deep breath ', ' Difficulty moving face muscles ', ' Abnormal heart rate ', ' Tingling or numbness (mild loss of sensation) ', ' Low blood pressure or poor blood pressure control ', ' Blurred vision and double vision ', ' Drooling ', ' Breathing temporarily stops ', ' Muscle tenderness or pain (may be a cramp-like pain) ', ' Loss of tendon reflexes in the arms and legs ', ' Feeling your heart beat (palpitations) ', ' Feeling light headed when standing ', ' Uncoordinated movement (cannot walk without help)']"
Guttate psoriasis,"['Itching ', ' Spots on the skin that are pinkish-red and look like teardrops ', ' Spots may be covered with silver, flaky skin called scales ', ' Spots usually occur on the arms, legs, and middle of the body (the trunk), but may appear in other body areas']"
H influenzae meningitis,"['Bulging fontanelles in infants ', ' Decreased consciousness ', ' Fever and chills ', ' Stiff neck (meningismus) ', ' Nausea and vomiting ', ' Severe headache ', ' Rapid breathing ', ' Unusual posture, with the head and neck arched backwards (opisthotonos) ', ' Sensitivity to light (photophobia) ', ' Poor feeding and irritability in children ', ' Agitation ', ' Mental status changes']"
H2 receptor antagonists overdose,"['Abnormal heartbeat, including rapid or slow heartbeat ', ' Slurred speech ', ' Nausea, vomiting ', ' Low blood pressure ', "" Hallucinations (seeing or hearing something that isn't there) "", ' Dilated pupils ', ' Flushing ', ' Difficulty breathing ', ' Yellowing of your skin (jaundice) and eyes, and dark urine (if your liver has been affected) ', ' Sweating ', ' Diarrhea ', ' Drowsiness ', ' Confusion ', ' Agitation']"
Hair bleach poisoning,"['Abdominal pain ', ' Blurred vision ', ' Stupor ', ' Slurred speech ', ' Burns to the eye, redness, and tearing ', ' Breathing difficulty ', ' Low blood pressure ', ' Inability to walk normally ', ' Rash ', ' Burning pain in the throat ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' No urine output ', ' Diarrhea (watery, bloody) ', ' Collapse']"
Hair dye poisoning,"['Abdominal pain ', ' Blurred vision ', ' Stupor ', ' Slurred speech ', ' Burns to the eye, redness, and tearing ', ' Breathing difficulty ', ' Low blood pressure ', ' Inability to walk normally ', ' Rash ', ' Burning pain in the throat ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' No urine output ', ' Diarrhea (watery, bloody) ', ' Collapse']"
Hair spray poisoning,"['Abdominal pain ', ' Blurred vision ', ' Stupor (decreased level of consciousness) ', ' Burns to the eye, redness, tearing ', ' Slurred speech ', ' Vomiting ', ' Breathing difficulty ', ' Low blood pressure ', ' Inability to walk normally ', ' Rash ', ' Burning pain in the throat ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' No urine output ', ' Diarrhea (watery, bloody) ', ' Collapse']"
Hair straightener poisoning,"['Burns in the food pipe (esophagus) ', ' Vomiting (might be bloody) ', ' SevereÂ\xa0abdominal pain ', ' Severe change in blood acid levels (leads to organ damage) ', ' Low blood pressure that develops rapidly ', ' Burn ', ' Holes in the skin or tissues under the skin ', ' Irritation ', ' Breathing difficulty ', ' Severe pain in the throat ', ' Loss of vision ', ' Throat swelling (may cause breathing difficulty) ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Collapse']"
Hair tonic poisoning,"['Increased urination ', ' Slowed breathing ', ' Slurred speech ', ' Vomiting, possibly bloodyÂ ', ' Painful urination ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Diarrhea ', ' Unsteady walk ', ' Lack of alertness (stupor)']"
Hairy cell leukemia,"['Pain or fullness in the upper left belly (enlarged spleen) ', ' Heavy sweating (especially at night) ', ' Easy bruising or bleeding ', ' Feeling full after eating only a small amount ', ' Swollen lymph glands ', ' Weight loss ', ' Fatigue and weakness ', ' Recurrent infections and fevers']"
Hamstring strain - aftercare,"['Compression. A compression bandage or wrap can reduce swelling and ease pain. ', ' Elevation. When sitting, keep your leg raised slightly to reduce swelling. ', ' Rest. Stop any physical activity that causes pain. Keep your leg as still as possible. You may need crutches when you have to move. ', ' Ice. Put ice on your hamstring for about 20 minutes, 2 to 3 times a day. Do not apply ice directly to your skin. ', ' Talk with your health care provider before using these medicines if you have heart disease, high blood pressure, kidney disease, or have had stomach ulcers or internal bleeding in the past. ', ' Do not take more than the amount recommended on the bottle or by your provider.']"
Hand lotion poisoning,"['Diarrhea ', ' Possible blockage in the intestines that causes stomach pain ', ' Nausea and vomiting']"
Hand-foot-mouth disease,"['Rash with very small blisters on the hands, feet, and diaper area that may be tender or painful when pressed ', ' Loss of appetite ', ' Headache ', ' Sore throat ', ' Ulcers in the throat (including tonsils), mouth, and tongue ', ' Fever']"
Hantavirus,"['Dry cough ', ' Chills ', ' Shortness of breath ', ' Nausea and vomiting ', ' Headache ', ' Muscle aches ', ' General ill feeling (malaise) ', ' Fever']"
Hartnup disorder,"['Short stature ', ' Sensitivity to light (photosensitivity) ', ' Mood changes ', ' Red, scaly skin rash, usually when skin is exposed to sunlight ', ' Diarrhea ', ' Nervous system (neurologic) problems, such as abnormal muscle tone and uncoordinated movements']"
Head lice,"['Small, red bumps on the scalp, neck, and shoulders (bumps may become crusty and ooze) ', ' Very bad itching of the scalp ', ' Tiny white specks (eggs, or nits) on the bottom of each hair that are hard to get off']"
Hearing loss - infants,"['Older infants, who should respond to familiar voices, may show no reaction when spoken to. ', ' A newborn baby with hearing loss may not startle when there is a loud noise nearby. ', ' Children should be using single words by 15 months, and simple 2-word sentences by age 2. If they do not reach these milestones, the cause may be hearing loss.']"
Heart attack,"['Squeezing or heavy pressure ', ' A tight band around the chest ', ' Cough ', ' Pain may move from your chest to your arms, shoulder, neck, teeth, jaw, belly area, or back ', ' Palpitations (feeling like your heart is beating too fast or irregularly) ', ' Lightheadedness, dizziness ', ' Bad indigestion ', ' Shortness of breath ', ' DO NOT try to drive yourself to the hospital. ', ' Nausea and vomiting ', ' Something heavy sitting on your chest ', ' You may feel the pain in only one part of your body OR ', ' Anxiety ', ' DO NOT WAIT. You are at greatest risk for sudden death in the early hours of a heart attack. ', ' Fainting ', ' Sweating, which may be very heavy']"
Heart attack first aid,"['Nausea (more common in women). ', ' Numbness, aching, or tingling in the arm (usually the left arm, but the right arm may be affected alone, or along with the left). ', ' Indigestion. ', ' Vomiting. ', ' Lightheadedness. ', ' Cold sweat. ', ' Shortness of breath. ', ' Chest pain that feels like pressure, squeezing, or fullness. The pain is most often in the center of the chest. It may also be felt in the jaw, shoulder, arms, back, and stomach. It can last for more than a few minutes, or come and go. ', ' Changes in mental status, especially in older adults. ', ' Weakness or fatigue, especially in older adults and in women.']"
Heart block,"['Heart palpitations -- Palpitations are when your heart feels like it is pounding, beating irregularly, or racing. ', ' Dizziness. ', ' Tiredness. ', ' Chest pain. ', ' Feeling faint or fainting.']"
Heart failure,"['Swollen feet and ankles ', ' Waking up from sleep after a couple of hours due to shortness of breath ', ' Shortness of breath when you are active or after you lie down ', ' Need to urinate at night ', ' Cough ', ' Loss of appetite ', ' Pulse that feels fast or irregular, or a sensation of feeling the heartbeat (palpitations) ', ' Fatigue, weakness, faintness ', ' Swollen (enlarged) liver or abdomen ', ' Weight gain']"
Heart failure - palliative care,"['Morphine can also help with fearfulness and anxiety. Certain antidepressants may also be useful. ', ' Family and caregivers should look for signs of these problems. Asking the person about their feelings and fears can make it easier to discuss them.']"
Heart failure in children,"['Swollen feet and ankles ', ' Symptoms of heart failure may be present at birth, start during the first weeks of life, or develop slowly in an older child. ', ' Waking up from sleep after a couple of hours due to shortness of breath ', ' Need to urinate at night ', ' Pulse that feels fast or irregular, or a sensation of feeling the heart beat (palpitations) ', ' Shortness of breath when the child is active or after lying down ', ' Not gaining enough weight. ', ' Cough ', ' Loss of appetite ', ' Breathing problems, such as rapid breathing or breathing that appears to take more effort. These may be noticed when the child is resting or when feeding or crying. ', ' Fluid may build up in the lungs, liver, abdomen, and the arms and legs. This is called ""congestive heart failure"" or just ""heart failure"". ', ' Fatigue, weakness, faintness ', ' Noticing a fast or strong heart beat through the chest wall when the child is at rest. ', ' Taking longer than normal to feed or becoming too tired to continue feeding after a short time. ', ' Swollen (enlarged) liver or abdomen ', ' Weight gain']"
Heat emergencies,"['Dark urine ', ' Very heavy\r\n  sweating ', ' Rapid, shallow breathing ', ' Weakness ', ' Muscle cramps and pains that most often occur in the legs or abdomen, and may be due to multiple factors including exercising in the heat. ', ' Unconsciousness (loss of responsiveness) ', ' Fatigue ', ' Irrational behavior ', ' Nausea and vomiting ', ' Headache ', ' Rapid, weak pulse ', ' Cool, moist skin ', ' Dizziness, lightheadedness ', ' Thirst ', ' Extreme confusion (altered level of consciousness) ', ' Fever -- temperature above 104Â°F (40Â°C) ', ' Seizures']"
Helicobacter pylori infection,"['Feeling of fullness or bloating and problems drinking as much fluid as usual ', ' Bloody or dark, tarry stools or bloody vomit ', ' Loss of appetite ', ' Hunger and an empty feeling in the stomach, often 1 to 3 hours after a meal ', ' Weight loss without trying ', ' Mild nausea that may go away with vomiting ', ' Burping']"
HELLP syndrome,"['Nosebleed or other bleeding that will not stop easily (rare) ', ' Fluid retention and excess weight gain ', ' Seizures or convulsions (rare) ', ' Headache ', ' Pain in the upper right or mid part of the abdomen ', ' Blurry vision ', ' Fatigue or feeling unwell ', ' Nausea and vomiting that continues to get worse']"
Hemangioma,"['A massive, raised, bluish lump with visible blood vessels ', ' A red to reddish-purple, raised growth on the skin']"
Hemochromatosis,"['Loss of body hair ', ' Generalized darkening of skin color (often referred to as bronzing) ', ' Weight loss ', ' Fatigue, lack of energy, weakness ', ' Loss of sexual desire ', ' Joint pain ', ' Abdominal pain']"
Hemolytic anemia,"['Headaches ', ' Problems concentrating or thinking ', ' Enlarged spleen ', ' Shortness of breath ', ' Feelings that your heart is pounding or racing ', ' Sore tongue ', ' Feeling weak or tired more often than usual, or with exercise ', ' Pale skin ', ' Lightheadedness when you stand up']"
Hemolytic disease of the newborn,"['Edema (swelling under the surface of the skin) ', ' Newborn jaundice which occurs sooner and is more severe than normal']"
Hemolytic transfusion reaction,"['Flank pain ', ' Chills ', ' Back pain ', ' Bloody urine ', ' Fever ', ' Flushing of the skin ', ' Fainting or dizziness']"
